"icd_code","icd_version","long_title"
"4139",9,"Other and unspecified angina pectoris"
"V707",9,"Examination of participant in clinical trial"
"V707",10,"Person on outside of bus injured in collision with pedestrian or animal in traffic accident"
"41401",9,"Coronary atherosclerosis of native coronary artery"
"3899",9,"Unspecified hearing loss"
"V8532",9,"Body Mass Index 32.0-32.9, adult"
"25002",9,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
"71696",9,"Arthropathy, unspecified, lower leg"
"V1083",9,"Personal history of other malignant neoplasm of skin"
"2724",9,"Other and unspecified hyperlipidemia"
"V5867",9,"Long-term (current) use of insulin"
"27800",9,"Obesity, unspecified"
"4829",9,"Bacterial pneumonia, unspecified"
"99592",9,"Severe sepsis"
"2768",9,"Hypopotassemia"
"0388",9,"Other specified septicemias"
"78791",9,"Diarrhea"
"5601",9,"Paralytic ileus"
"2875",9,"Thrombocytopenia, unspecified"
"60001",9,"Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)"
"79092",9,"Abnormal coagulation profile"
"5110",9,"Pleurisy without mention of effusion or current tuberculosis"
"2859",9,"Anemia, unspecified"
"5849",9,"Acute kidney failure, unspecified"
"78820",9,"Retention of urine, unspecified"
"4240",9,"Mitral valve disorders"
"V4589",9,"Other postprocedural status"
"5121",9,"Iatrogenic pneumothorax"
"7873",9,"Flatulence, eructation, and gas pain"
"99832",9,"Disruption of external operation (surgical) wound"
"33812",9,"Acute post-thoracotomy pain"
"E8782",9,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
"V1204",9,"Personal history of Methicillin resistant Staphylococcus aureus"
"99859",9,"Other postoperative infection"
"04112",9,"Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site"
"E8497",9,"Accidents occurring in residential institution"
"5109",9,"Empyema without mention of fistula"
"51189",9,"Other specified forms of effusion, except tuberculous"
"6822",9,"Cellulitis and abscess of trunk"
"34600",9,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
"V151",9,"Personal history of surgery to heart and great vessels, presenting hazards to health"
"V151",10,"Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident"
"29181",9,"Alcohol withdrawal"
"85221",9,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
"53081",9,"Esophageal reflux"
"E8150",9,"Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle"
"2749",9,"Gout, unspecified"
"4019",9,"Unspecified essential hypertension"
"30391",9,"Other and unspecified alcohol dependence, continuous"
"E8495",9,"Street and highway accidents"
"8054",9,"Closed fracture of lumbar vertebra without mention of spinal cord injury"
"V168",9,"Family history of other specified malignant neoplasm"
"V161",9,"Family history of malignant neoplasm of trachea, bronchus, and lung"
"V161",10,"Pedal cycle passenger injured in collision with other nonmotor vehicle in nontraffic accident"
"04109",9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
"3485",9,"Cerebral edema"
"3484",9,"Compression of brain"
"3240",9,"Intracranial abscess"
"340",9,"Multiple sclerosis"
"5180",9,"Pulmonary collapse"
"3051",9,"Tobacco use disorder"
"D696",10,"Thrombocytopenia, unspecified"
"S030XXA",10,"Dislocation of jaw, initial encounter"
"S25512A",10,"Laceration of intercostal blood vessels, left side, initial encounter"
"D649",10,"Anemia, unspecified"
"F1010",10,"Alcohol abuse, uncomplicated"
"S0262XA",10,"Fracture of subcondylar process of mandible, initial encounter for closed fracture"
"Y040XXA",10,"Assault by unarmed brawl or fight, initial encounter"
"S36892A",10,"Contusion of other intra-abdominal organs, initial encounter"
"99811",9,"Hemorrhage complicating a procedure"
"V8741",9,"Personal history of antineoplastic chemotherapy"
"20300",9,"Multiple myeloma, without mention of having achieved remission"
"42731",9,"Atrial fibrillation"
"36201",9,"Background diabetic retinopathy"
"25050",9,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
"4142",9,"Chronic total occlusion of coronary artery"
"I4891",10,"Unspecified atrial fibrillation"
"I959",10,"Hypotension, unspecified"
"Y832",10,"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"K5190",10,"Ulcerative colitis, unspecified, without complications"
"E119",10,"Type 2 diabetes mellitus without complications"
"E785",10,"Hyperlipidemia, unspecified"
"J810",10,"Acute pulmonary edema"
"I255",10,"Ischemic cardiomyopathy"
"R0902",10,"Hypoxemia"
"G4700",10,"Insomnia, unspecified"
"D62",10,"Acute posthemorrhagic anemia"
"I2510",10,"Atherosclerotic heart disease of native coronary artery without angina pectoris"
"Z933",10,"Colostomy status"
"Y92230",10,"Patient room in hospital as the place of occurrence of the external cause"
"I9789",10,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
"7245",9,"Backache, unspecified"
"E8889",9,"Unspecified fall"
"E8889",10,"Other specified metabolic disorders"
"6961",9,"Other psoriasis"
"30390",9,"Other and unspecified alcohol dependence, unspecified"
"81201",9,"Closed fracture of surgical neck of humerus"
"3453",9,"Grand mal status"
"5855",9,"Chronic kidney disease, Stage V"
"85220",9,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
"78451",9,"Dysarthria"
"V4365",9,"Knee joint replacement"
"7843",9,"Aphasia"
"78830",9,"Urinary incontinence, unspecified"
"78194",9,"Facial weakness"
"40391",9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
"E8490",9,"Home accidents"
"V173",9,"Family history of ischemic heart disease"
"V173",10,"Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object"
"53550",9,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
"2127",9,"Benign neoplasm of heart"
"V1272",9,"Personal history of colonic polyps"
"4556",9,"Unspecified hemorrhoids without mention of complication"
"V1582",9,"Personal history of tobacco use"
"56210",9,"Diverticulosis of colon (without mention of hemorrhage)"
"G40909",10,"Epilepsy, unspecified, not intractable, without status epilepticus"
"Z85850",10,"Personal history of malignant neoplasm of thyroid"
"D1802",10,"Hemangioma of intracranial structures"
"80707",9,"Closed fracture of seven ribs"
"E8809",9,"Accidental fall on or from other stairs or steps"
"E8809",10,"Other disorders of plasma-protein metabolism, not elsewhere classified"
"30500",9,"Alcohol abuse, unspecified"
"8600",9,"Traumatic pneumothorax without mention of open wound into thorax"
"49390",9,"Asthma, unspecified type, unspecified"
"E8798",9,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
"9962",9,"Mechanical complication of nervous system device, implant, and graft"
"9010",9,"Injury to thoracic aorta"
"E8120",9,"Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle"
"Z96651",10,"Presence of right artificial knee joint"
"Z6841",10,"Body mass index (BMI) 40.0-44.9, adult"
"I671",10,"Cerebral aneurysm, nonruptured"
"M1712",10,"Unilateral primary osteoarthritis, left knee"
"K2270",10,"Barrett's esophagus without dysplasia"
"E669",10,"Obesity, unspecified"
"I10",10,"Essential (primary) hypertension"
"Z7902",10,"Long term (current) use of antithrombotics/antiplatelets"
"4589",9,"Hypotension, unspecified"
"V5866",9,"Long-term (current) use of aspirin"
"5400",9,"Acute appendicitis with generalized peritonitis"
"25000",9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
"2720",9,"Pure hypercholesterolemia"
"V4577",9,"Acquired absence of organ, genital organs"
"V1082",9,"Personal history of malignant melanoma of skin"
"2449",9,"Unspecified acquired hypothyroidism"
"34830",9,"Encephalopathy, unspecified"
"2761",9,"Hyposmolality and/or hyponatremia"
"85186",9,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"5070",9,"Pneumonitis due to inhalation of food or vomitus"
"2910",9,"Alcohol withdrawal delirium"
"1120",9,"Candidiasis of mouth"
"78720",9,"Dysphagia, unspecified"
"34831",9,"Metabolic encephalopathy"
"3310",9,"Alzheimer's disease"
"29411",9,"Dementia in conditions classified elsewhere with behavioral disturbance"
"71590",9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
"79902",9,"Hypoxemia"
"2639",9,"Unspecified protein-calorie malnutrition"
"43820",9,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
"2760",9,"Hyperosmolality and/or hypernatremia"
"486",9,"Pneumonia, organism unspecified"
"4439",9,"Peripheral vascular disease, unspecified"
